var	-5	-4	-3	-2	-1	0	1	2	3	4	5
Variant_000083					2.0	29.0			1.0		1.0
Variant_000084			1.0		1.0	11.0					
Variant_000085					1.0	5.0		1.0			1.0
Variant_000086					1.0	1.0		1.0			
Variant_000087				1.0		2.0		1.0			
Variant_000088					1.0						1.0
Variant_000089	1.0		3.0		1.0	8.0	4.0	2.0		1.0	6.0
Variant_000090	1.0				1.0	10.0	1.0				
Variant_000091					3.0	4.0					2.0
Variant_000092			1.0			4.0					
Variant_000093	1.0		1.0		3.0	2.0					4.0
Variant_000094		1.0			1.0	3.0	1.0	2.0			
Variant_000095	2.0			1.0		8.0		1.0			4.0
Variant_000096			2.0		2.0	2.0					
Variant_000097				1.0	7.0	14.0	1.0				1.0
Variant_000098		1.0	1.0	1.0	4.0	10.0	2.0				
Variant_000099		2.0	1.0		5.0	13.0	3.0	1.0			1.0
Variant_000100			1.0			1.0	2.0				1.0
Variant_000101					5.0	4.0		3.0		1.0	2.0
Variant_000102	2.0		1.0		2.0	3.0					
Variant_000103					5.0	1.0			1.0		1.0
Variant_000104	1.0	1.0		1.0	5.0	2.0					3.0
Variant_000105	1.0		2.0	1.0	6.0	18.0	7.0	2.0		1.0	2.0
Variant_000106					2.0	5.0		1.0			
Variant_000107						5.0					
Variant_000108		1.0			3.0	3.0					
Variant_000109	1.0	1.0		1.0	3.0	4.0	1.0	1.0			2.0
Variant_000110						7.0	1.0				
Variant_000111	1.0					1.0			1.0		
Variant_000112						3.0					
Variant_000113	2.0		1.0			5.0					
Variant_000114		1.0			1.0	4.0					
Variant_000115	1.0				1.0	1.0			1.0		
Variant_000116			1.0		2.0	4.0			1.0		
Variant_000117					3.0	2.0				1.0	1.0
Variant_000118	1.0				1.0	6.0				1.0	
Variant_000119		1.0			7.0	8.0				1.0	2.0
Variant_000120				1.0	5.0	1.0					
Variant_000121					2.0	3.0					
Variant_000122					3.0	13.0	2.0	1.0			
Variant_000123					1.0	14.0			1.0		2.0
Variant_000124				1.0	1.0	5.0					
Variant_000125		1.0			1.0	4.0					
Variant_000126			1.0		2.0	3.0					
Variant_000127	1.0				1.0	5.0			1.0		
Variant_000128	2.0				3.0	5.0				1.0	2.0
Variant_000129	1.0			5.0	15.0	40.0	3.0	1.0	1.0		
Variant_000130	3.0		2.0	1.0	7.0	20.0	2.0			1.0	
Variant_000131	2.0		1.0		6.0	19.0	2.0			1.0	2.0
Variant_000132					5.0	22.0	6.0				
Variant_000133					3.0	5.0					
Variant_000134		1.0	1.0		1.0	4.0					
Variant_000135			1.0		4.0	7.0				1.0	
Variant_000136	1.0				3.0	6.0	1.0				
Variant_000137	2.0	1.0	1.0		4.0	18.0	2.0			1.0	1.0
Variant_000138		1.0			3.0	2.0	2.0				
Variant_000139	1.0				3.0	14.0					
Variant_000140					2.0	11.0	1.0				
Variant_000141	1.0				6.0	8.0	3.0	1.0		1.0	
Variant_000142					2.0	4.0	5.0	1.0		2.0	
Variant_000143	1.0	1.0			4.0	4.0	2.0				2.0
Variant_000144					1.0	5.0	1.0			2.0	1.0
Variant_000145			1.0		4.0	18.0			1.0	1.0	
Variant_000146				1.0	2.0	4.0	1.0				2.0
Variant_000147	1.0	1.0		2.0	5.0	12.0			1.0		2.0
Variant_000148	2.0		1.0		3.0	8.0					
Variant_000149			1.0		5.0	6.0	1.0		1.0	2.0	1.0
Variant_000150					3.0	1.0					
Variant_000151	1.0			1.0	1.0	1.0					
Variant_000152											1.0
Variant_000153					2.0	13.0	1.0				
Variant_000154		1.0			1.0	12.0	1.0		1.0	2.0	1.0
Variant_000155						4.0					
Variant_000156					1.0						
Variant_000157			1.0		2.0	1.0	1.0	1.0			
Variant_000158				1.0	1.0	2.0	3.0	1.0		1.0	2.0
Variant_000159						4.0					
Variant_000160			1.0							1.0	
Variant_000161			1.0	3.0	8.0	17.0	4.0	1.0			1.0
Variant_000162		1.0			1.0	2.0			1.0		1.0
Variant_000163						3.0			1.0		
Variant_000164	1.0					1.0					
Variant_000165					2.0	4.0	1.0	2.0			2.0
Variant_000166					3.0	3.0	3.0	1.0		2.0	1.0
Variant_000167						2.0				1.0	2.0
Variant_000168					5.0					1.0	
Variant_000169		1.0			2.0	5.0				1.0	2.0
Variant_000170		1.0			5.0	7.0		1.0			3.0
Variant_000171						1.0					
Variant_000172	1.0				1.0		1.0				1.0
Variant_000173						2.0	2.0				
Variant_000174					3.0	3.0				1.0	
Variant_000175	2.0					1.0			1.0		1.0
Variant_000176					2.0	1.0			1.0	1.0	1.0
Variant_000177			1.0		2.0	4.0					
Variant_000178				2.0	1.0	7.0	1.0			1.0	
Variant_000179					1.0	3.0			1.0		
Variant_000180						1.0					
Variant_000181			1.0		4.0	5.0		2.0			1.0
Variant_000182			1.0	1.0	2.0		1.0				
Variant_000184					3.0						1.0
Variant_000185		1.0	1.0	1.0	2.0	15.0			1.0		
Variant_000186			2.0		2.0	2.0					
Variant_000187		1.0			3.0	7.0				1.0	
Variant_000188				1.0	2.0	5.0					
Variant_000189						4.0				1.0	1.0
Variant_000190			1.0			2.0					
Variant_000191					2.0	6.0	1.0				1.0
Variant_000192					1.0	3.0	1.0				
Variant_000193		1.0	3.0	6.0	17.0	73.0	2.0	6.0		1.0	
Variant_000194			1.0		11.0	52.0	3.0	2.0		1.0	
Variant_000195		2.0	2.0	1.0	6.0	28.0	2.0				1.0
Variant_000196		1.0		1.0	5.0	22.0	4.0				
Variant_000197	1.0	1.0	1.0	1.0	10.0	18.0	2.0	2.0		1.0	5.0
Variant_000198		1.0		3.0	5.0	1.0	2.0	4.0		1.0	
Variant_000199	4.0		1.0	1.0	9.0	12.0	1.0				3.0
Variant_000200			1.0		6.0	4.0		1.0		1.0	1.0
Variant_000201	1.0	2.0	4.0	3.0	11.0	41.0	3.0	1.0	1.0	2.0	3.0
Variant_000202		1.0		1.0	3.0	17.0	2.0				
Variant_000203		1.0			2.0	13.0					2.0
Variant_000204			2.0	1.0		4.0					
Variant_000205		3.0	3.0		8.0	17.0		3.0		2.0	4.0
Variant_000206			2.0		6.0	19.0					
Variant_000207				3.0	2.0	6.0	1.0		1.0		5.0
Variant_000208				1.0	1.0	5.0			1.0		
Variant_000209	1.0				7.0	36.0	3.0	2.0		2.0	
Variant_000210			1.0		2.0	11.0	1.0	1.0		1.0	
Variant_000211	4.0				4.0	9.0			2.0		2.0
Variant_000212	3.0		1.0	1.0	3.0	32.0	1.0				
Variant_000213	1.0	2.0	1.0	1.0	4.0	3.0		3.0		2.0	2.0
Variant_000214					1.0	6.0		2.0			1.0
Variant_000215			4.0			2.0		1.0	1.0		4.0
Variant_000216	1.0				2.0	7.0		2.0			2.0
Variant_000217		1.0	1.0		2.0	13.0	3.0				5.0
Variant_000218					2.0	9.0	1.0			1.0	
Variant_000219				1.0	1.0	7.0	1.0				4.0
Variant_000220	1.0		1.0	1.0		4.0					1.0
Variant_000221	1.0	1.0		1.0		10.0		5.0		2.0	2.0
Variant_000222		2.0				3.0	1.0				
Variant_000223	1.0	1.0				4.0	1.0				2.0
Variant_000224		1.0		1.0		1.0	1.0	1.0		1.0	
Variant_000225	2.0			2.0	5.0	13.0	2.0	3.0			2.0
Variant_000226	1.0			3.0	7.0	16.0	2.0				
Variant_000227	1.0	1.0		2.0	5.0	7.0		1.0	2.0		1.0
Variant_000228	2.0	1.0			2.0	9.0	3.0		1.0		
Variant_000229	1.0	3.0		2.0	7.0	6.0	2.0	3.0			4.0
Variant_000230				3.0	6.0	1.0	2.0			1.0	1.0
Variant_000231	1.0			1.0	8.0	5.0					5.0
Variant_000232		1.0		1.0	5.0	1.0	2.0		1.0	1.0	
Variant_000233	1.0	1.0	1.0	2.0	9.0	11.0	1.0			1.0	4.0
Variant_000234	1.0		1.0		7.0	13.0					
Variant_000235				1.0	1.0	1.0					2.0
Variant_000236		1.0	1.0		4.0	7.0			1.0		1.0
Variant_000237	1.0		1.0	1.0	6.0	5.0	1.0	1.0			1.0
Variant_000238		1.0		1.0	1.0	1.0		1.0			
Variant_000239					6.0	3.0	1.0				1.0
Variant_000240	1.0		2.0		3.0	3.0					
Variant_000241		1.0	2.0	2.0	8.0	26.0	3.0	4.0			2.0
Variant_000242		1.0	2.0		13.0	14.0	1.0		1.0		1.0
Variant_000243			1.0		4.0	6.0			1.0		3.0
Variant_000244					1.0	6.0					
Variant_000245			3.0		6.0	2.0		2.0			2.0
Variant_000246	2.0		1.0	1.0	12.0	4.0		2.0			1.0
Variant_000247					20.0	5.0			1.0		
Variant_000248					4.0					1.0	
Variant_000249					6.0	9.0	1.0				1.0
Variant_000250					2.0	8.0					
Variant_000251	1.0	1.0	2.0		4.0	11.0	1.0				2.0
Variant_000252					1.0	2.0					1.0
Variant_000253		1.0	2.0		5.0	5.0	2.0				1.0
Variant_000254			2.0		1.0	5.0	2.0				1.0
Variant_000255					8.0	2.0					1.0
Variant_000256		1.0	1.0			2.0			1.0		2.0
Variant_000257		1.0		3.0	6.0	24.0	2.0				
Variant_000258	1.0			1.0	8.0	16.0	1.0				
Variant_000259			1.0	1.0	7.0	21.0	1.0		2.0		
Variant_000260					1.0	3.0	2.0	1.0			
Variant_000261		1.0			11.0	6.0		2.0		1.0	
Variant_000262			1.0		6.0	3.0					
Variant_000263		1.0	1.0		4.0	8.0					
Variant_000264		1.0			1.0	1.0			1.0		
Variant_000265						4.0	2.0	1.0			
Variant_000266		1.0	1.0		2.0	9.0	1.0			1.0	
Variant_000267						2.0					
Variant_000268					1.0						
Variant_000269	1.0			1.0	3.0	2.0	1.0	1.0			1.0
Variant_000270					3.0	3.0	1.0	1.0			
Variant_000271		1.0			2.0	2.0	1.0			1.0	
Variant_000272		1.0	1.0	2.0	2.0	1.0				1.0	1.0
Variant_000273					3.0	10.0		1.0			
Variant_000274					2.0	14.0				1.0	
Variant_000275				2.0	1.0	7.0			4.0		
Variant_000276					5.0	12.0				1.0	1.0
Variant_000277		1.0	1.0		6.0	3.0					
Variant_000278					1.0	2.0					
Variant_000279					3.0	2.0			1.0		
Variant_000280			1.0		1.0	4.0					
Variant_000281		2.0		1.0	4.0	8.0	1.0			1.0	1.0
Variant_000282				1.0		6.0	2.0				
Variant_000283						4.0					
Variant_000284					1.0	4.0					
Variant_000285	1.0			1.0	3.0			1.0			2.0
Variant_000286								3.0			
Variant_000287	1.0			1.0							
Variant_000289	1.0	2.0	1.0		8.0	12.0	2.0				
Variant_000290	1.0	2.0	2.0	1.0	3.0	7.0	3.0			1.0	
Variant_000291	1.0		1.0	2.0	1.0	4.0					1.0
Variant_000292					1.0	1.0					
Variant_000293					7.0	1.0		3.0			1.0
Variant_000294				1.0	4.0	5.0					
Variant_000295			1.0			2.0					1.0
Variant_000296		1.0			2.0		1.0				
Variant_000297		1.0	2.0		4.0	10.0	1.0	1.0			
Variant_000298				1.0	2.0	9.0	1.0			1.0	1.0
Variant_000299			1.0			10.0					
Variant_000300			1.0		1.0	4.0					
Variant_000301	1.0				3.0		1.0				
Variant_000302						1.0		1.0			
Variant_000303						1.0					1.0
Variant_000305					1.0	6.0	1.0		1.0		
Variant_000306					2.0	8.0				1.0	
Variant_000307					1.0	2.0					1.0
Variant_000308	1.0					3.0				1.0	
Variant_000309	1.0	1.0			1.0						
Variant_000310					1.0	3.0			1.0		
Variant_000311					1.0	2.0					
Variant_000312						1.0					2.0
Variant_000313						1.0					
Variant_000314		1.0	1.0			14.0					
Variant_000315						3.0	1.0				
Variant_000316					1.0	5.0					
Variant_000317			1.0		2.0	2.0	1.0			1.0	
Variant_000318			1.0			7.0					
Variant_000319						4.0					
Variant_000320					3.0	5.0		3.0		2.0	
Variant_000321	3.0	2.0	3.0	1.0	8.0	31.0	3.0	1.0			1.0
Variant_000322		1.0		1.0	6.0	36.0	1.0	2.0		1.0	
Variant_000323	1.0		2.0		4.0	30.0	4.0		6.0		4.0
Variant_000324		1.0	1.0		9.0	21.0	4.0				
Variant_000325	1.0		1.0		7.0	24.0	3.0	2.0			5.0
Variant_000326					7.0	3.0		1.0			
Variant_000327		2.0	1.0	1.0	10.0	13.0			1.0		5.0
Variant_000328			1.0	1.0	6.0	7.0		1.0			
Variant_000329	1.0			2.0	3.0	35.0	3.0				1.0
Variant_000330	1.0	1.0			1.0	19.0	5.0	1.0			
Variant_000331					1.0	8.0					1.0
Variant_000332					1.0	5.0					
Variant_000333		2.0	2.0		3.0	5.0	1.0	1.0	1.0		1.0
Variant_000334	1.0		1.0		2.0	8.0	2.0		1.0		1.0
Variant_000335					3.0	2.0	2.0				2.0
Variant_000336	1.0				3.0	5.0					
Variant_000337	2.0		1.0	1.0	6.0	13.0	1.0			3.0	1.0
Variant_000338		1.0		2.0	7.0	25.0	2.0	1.0	1.0	1.0	1.0
Variant_000339				2.0	5.0	11.0		1.0	2.0		1.0
Variant_000340	1.0				1.0	19.0		1.0			
Variant_000341	1.0	1.0			3.0	1.0	1.0	2.0			
Variant_000342		1.0			3.0	3.0		1.0			
Variant_000343	1.0		2.0			3.0				1.0	5.0
Variant_000344					1.0	2.0		1.0			2.0
Variant_000345		2.0	3.0		6.0	12.0		2.0			
Variant_000346			1.0	1.0	2.0	9.0					1.0
Variant_000347					4.0	17.0		1.0			2.0
Variant_000348					2.0	13.0					
Variant_000349				1.0	2.0	6.0	3.0	3.0		3.0	4.0
Variant_000350	1.0	1.0			3.0	2.0		1.0	1.0		
Variant_000351					2.0	3.0			1.0		
Variant_000352			1.0		1.0						1.0
Variant_000353	1.0	1.0			7.0	13.0	4.0			1.0	1.0
Variant_000354				1.0	3.0	6.0	1.0	1.0			
Variant_000355					2.0	12.0		3.0	2.0		1.0
Variant_000356					5.0	9.0	1.0				
Variant_000357					6.0	4.0		1.0	1.0	1.0	
Variant_000358			1.0		3.0						
Variant_000359	2.0				2.0						1.0
Variant_000360					1.0						
Variant_000361	1.0	2.0	3.0		4.0	16.0	3.0	1.0			1.0
Variant_000362						16.0	2.0	1.0			
Variant_000363		1.0			3.0	5.0					
Variant_000364						8.0					1.0
Variant_000365					2.0	1.0	1.0	1.0	1.0		1.0
Variant_000366			1.0		1.0						
Variant_000367		2.0	1.0	1.0	1.0	3.0			1.0		1.0
Variant_000368						2.0					
Variant_000369	1.0		2.0		5.0	13.0		3.0		2.0	1.0
Variant_000370		1.0			5.0	14.0	2.0	1.0			
Variant_000371					4.0	7.0			1.0		1.0
Variant_000372				1.0	7.0	15.0					
Variant_000373		1.0		1.0	5.0	3.0	1.0	1.0			
Variant_000374		1.0		2.0	7.0	4.0	1.0	1.0		1.0	
Variant_000375		1.0			1.0	5.0					
Variant_000376		1.0				2.0					1.0
Variant_000377			1.0			20.0				1.0	1.0
Variant_000378				1.0	2.0	12.0	2.0				
Variant_000379				1.0	5.0	21.0					
Variant_000380					4.0	5.0					
Variant_000381	1.0				3.0	8.0	1.0				4.0
Variant_000382	1.0				2.0	2.0			1.0	1.0	
Variant_000383		1.0				4.0			1.0		1.0
Variant_000384	1.0	2.0	1.0		1.0	3.0		1.0			
Variant_000385	1.0	3.0	5.0	2.0	14.0	52.0	3.0	3.0		1.0	
Variant_000386		1.0		1.0	7.0	18.0	4.0			1.0	
Variant_000387		1.0	1.0		4.0	22.0	1.0				1.0
Variant_000388			1.0		2.0	11.0	2.0				1.0
Variant_000389			1.0	1.0	3.0	3.0	3.0	2.0			
Variant_000390					2.0			2.0			
Variant_000391				1.0	6.0	5.0		1.0		1.0	1.0
Variant_000392	1.0				1.0	1.0					
Variant_000393		1.0	1.0	1.0	1.0	21.0	4.0	1.0		1.0	2.0
Variant_000394	1.0				1.0	5.0	1.0			1.0	
Variant_000395		1.0		2.0	5.0	10.0			2.0		
Variant_000396					6.0	14.0				1.0	
Variant_000397		1.0			2.0	4.0	2.0				
Variant_000398				1.0	1.0	3.0					
Variant_000399					2.0	7.0		1.0			3.0
Variant_000400		1.0			3.0	5.0					1.0
Variant_000401	2.0	1.0	1.0	1.0	2.0	15.0	3.0	3.0	1.0		2.0
Variant_000402			3.0	1.0		7.0	3.0			1.0	
Variant_000403					3.0	11.0			1.0		
Variant_000404				1.0	1.0	6.0		1.0			
Variant_000405		1.0	1.0		5.0	4.0		1.0	1.0		1.0
Variant_000406		1.0			2.0	5.0	1.0	2.0			
Variant_000407	1.0		1.0	1.0	3.0	3.0		2.0			4.0
Variant_000408			1.0		3.0			5.0		1.0	1.0
Variant_000409					1.0	14.0	2.0	2.0			
Variant_000410			1.0		1.0	11.0	3.0	2.0		3.0	
Variant_000411			2.0		1.0	4.0					
Variant_000412						5.0	1.0				
Variant_000413						6.0	1.0	4.0			3.0
Variant_000414					1.0	5.0				1.0	1.0
Variant_000415	1.0	2.0				4.0	1.0	1.0			1.0
Variant_000416	1.0		1.0		1.0	4.0					
Variant_000417		1.0		1.0	15.0	18.0	6.0	2.0		1.0	
Variant_000418		1.0			2.0	2.0					
Variant_000419		1.0				14.0					
Variant_000420				2.0	3.0	4.0					
Variant_000421	1.0	1.0	1.0		3.0	5.0		1.0		2.0	4.0
Variant_000422				1.0	8.0	2.0					
Variant_000423	1.0				6.0	4.0	1.0		1.0	1.0	1.0
Variant_000424		1.0			2.0	3.0					
Variant_000425					1.0	7.0	3.0	1.0			1.0
Variant_000426					5.0	4.0	5.0			2.0	
Variant_000427					3.0	5.0					1.0
Variant_000428			1.0			4.0	1.0				1.0
Variant_000429				1.0	1.0	3.0	2.0		2.0		
Variant_000430	1.0		1.0	1.0	1.0	3.0					
Variant_000431					1.0	1.0					1.0
Variant_000432		2.0			1.0	2.0			1.0		
Variant_000433	1.0	2.0	2.0		1.0	8.0	2.0				
Variant_000434		1.0	1.0	1.0	4.0	7.0	2.0				1.0
Variant_000435			1.0		6.0	5.0					
Variant_000436	2.0				1.0	5.0					
Variant_000437					4.0	4.0		1.0			1.0
Variant_000438		2.0				2.0		1.0			
Variant_000439	1.0	1.0	1.0		1.0						
Variant_000440	1.0	1.0			4.0	1.0				1.0	1.0
Variant_000441					5.0	23.0	4.0				
Variant_000442		1.0			1.0	11.0	1.0			1.0	1.0
Variant_000443		1.0				8.0					
Variant_000444					4.0	7.0					2.0
Variant_000445		1.0		1.0	3.0	5.0					1.0
Variant_000446		1.0			1.0	7.0					1.0
Variant_000447			1.0		1.0	4.0	1.0		1.0		
Variant_000448					1.0			1.0		1.0	1.0
Variant_000449	1.0	2.0	5.0	3.0	27.0	99.0	8.0	10.0	1.0	4.0	6.0
Variant_000450			1.0	3.0	10.0	41.0	4.0	1.0	1.0		1.0
Variant_000451	4.0		2.0	1.0	16.0	32.0	2.0	3.0	5.0		2.0
Variant_000452			1.0	1.0	4.0	21.0	3.0				1.0
Variant_000453					10.0	12.0				1.0	3.0
Variant_000454	1.0	1.0	3.0	1.0	5.0	7.0	1.0				
Variant_000455					8.0	15.0		2.0	1.0		
Variant_000456	2.0		1.0	1.0	15.0	12.0		1.0			
Variant_000457		2.0	1.0	3.0	8.0	27.0	12.0	1.0	1.0	1.0	4.0
Variant_000458	1.0			1.0	5.0	34.0	5.0			1.0	
Variant_000459	1.0	3.0	1.0	1.0	7.0	14.0	1.0				4.0
Variant_000460		1.0			1.0	11.0					
Variant_000461	1.0			3.0	5.0	8.0	4.0	4.0		2.0	7.0
Variant_000462	1.0	2.0	1.0		2.0	16.0	1.0	3.0		1.0	2.0
Variant_000463	1.0	1.0			4.0	2.0	2.0	1.0		1.0	4.0
Variant_000464	1.0	2.0		1.0	3.0	5.0			1.0		1.0
Variant_000465		2.0	3.0	1.0	11.0	56.0	1.0	17.0		2.0	5.0
Variant_000466					8.0	21.0	1.0	1.0			
Variant_000467	3.0	2.0			3.0	8.0			1.0		2.0
Variant_000468	1.0				1.0	16.0	1.0		1.0		2.0
Variant_000469	1.0		2.0		9.0	9.0	2.0	1.0			7.0
Variant_000470	2.0	2.0			3.0	3.0		2.0			
Variant_000471	2.0				1.0	8.0				1.0	6.0
Variant_000472			1.0		1.0	4.0		1.0		3.0	3.0
Variant_000473	2.0	1.0	2.0		3.0	28.0	5.0	4.0	2.0	4.0	3.0
Variant_000474		1.0			4.0	14.0				1.0	1.0
Variant_000475		1.0				6.0	1.0			1.0	1.0
Variant_000476	1.0	1.0	1.0		3.0	15.0					4.0
Variant_000477			1.0		2.0	9.0	2.0	1.0		3.0	1.0
Variant_000478					1.0	3.0	1.0	1.0		1.0	1.0
Variant_000479			2.0			2.0			1.0		3.0
Variant_000480		1.0			1.0	3.0					
Variant_000481	1.0	2.0	2.0	1.0	10.0	26.0	6.0	3.0		2.0	2.0
Variant_000482	1.0	2.0	2.0	2.0	6.0	16.0	1.0			2.0	
Variant_000483	1.0		3.0		4.0	17.0			4.0		2.0
Variant_000484	1.0	1.0			1.0	11.0	2.0				
Variant_000485	3.0		3.0	1.0	7.0	10.0	2.0	3.0	1.0		6.0
Variant_000486	1.0		1.0		4.0	7.0	1.0	1.0			
Variant_000487		2.0			5.0	2.0					4.0
Variant_000488	1.0	1.0	2.0	1.0	9.0	5.0	1.0	1.0	1.0	2.0	
Variant_000489					4.0	12.0	3.0			1.0	2.0
Variant_000490		2.0			8.0	21.0	2.0				
Variant_000491		2.0	2.0	1.0	7.0	12.0					2.0
Variant_000492			1.0	1.0	3.0	4.0				1.0	1.0
Variant_000493	2.0			2.0	6.0	3.0	2.0	1.0			2.0
Variant_000494					4.0	2.0	1.0				
Variant_000495	2.0				6.0	4.0	1.0			1.0	3.0
Variant_000496					2.0	2.0					1.0
Variant_000497			1.0		4.0	24.0	2.0	4.0			
Variant_000498	2.0		1.0	1.0	10.0	20.0	1.0	1.0			
Variant_000499	1.0		1.0	3.0	14.0	6.0					
Variant_000500				1.0	6.0	13.0					1.0
Variant_000501		1.0		1.0	4.0	6.0	2.0	2.0		1.0	2.0
Variant_000502	1.0		1.0		2.0	2.0					1.0
Variant_000503		1.0	4.0		5.0	4.0	1.0	1.0			
Variant_000504	1.0		1.0		2.0	1.0				2.0	
Variant_000505	3.0		2.0		13.0	43.0	2.0				1.0
Variant_000506	2.0				2.0	31.0		1.0			
Variant_000507			1.0		4.0	21.0	1.0			1.0	1.0
Variant_000508			1.0		4.0	11.0					
Variant_000509		2.0			4.0	6.0				1.0	1.0
Variant_000510	1.0		1.0	2.0	4.0	5.0					
Variant_000511			1.0		2.0	5.0					
Variant_000512					1.0	6.0					
Variant_000513		2.0	1.0	1.0	10.0	20.0	3.0	2.0		1.0	
Variant_000514			1.0		4.0	9.0					
Variant_000515		1.0	1.0	2.0	4.0	10.0			2.0		1.0
Variant_000516		1.0				3.0	1.0				
Variant_000517					8.0	7.0		2.0			
Variant_000518			1.0	1.0	5.0	7.0		1.0			
Variant_000519		1.0	2.0	2.0	6.0	7.0		2.0			
Variant_000520					2.0	1.0					1.0
Variant_000521	2.0		1.0			24.0			1.0	1.0	1.0
Variant_000522			1.0			6.0	1.0		1.0		
Variant_000523					1.0	6.0					
Variant_000524	1.0	1.0		1.0		3.0	2.0				
Variant_000525				1.0	1.0	3.0					
Variant_000526				1.0	1.0						
Variant_000527		1.0				1.0					
Variant_000528						3.0	1.0				1.0
Variant_000529					1.0	7.0		1.0			
Variant_000530	3.0		2.0	1.0		13.0	5.0				
Variant_000531					5.0	11.0					
Variant_000532					2.0	6.0			1.0		
Variant_000533	1.0			1.0	4.0	1.0				1.0	3.0
Variant_000534	1.0	1.0	1.0		3.0	3.0					
Variant_000535		1.0									1.0
Variant_000537		1.0			1.0	6.0	1.0				1.0
Variant_000538		1.0	1.0			3.0					
Variant_000539			1.0								
Variant_000540					1.0	8.0					2.0
Variant_000542					4.0			1.0			1.0
Variant_000543									1.0		
Variant_000544		3.0				1.0				1.0	2.0
Variant_000545		1.0	1.0	1.0	1.0	12.0	2.0				1.0
Variant_000546					6.0	9.0	1.0	1.0			
Variant_000547	1.0					5.0	1.0		1.0		
Variant_000548		1.0		1.0	5.0	4.0					
Variant_000549						2.0					
Variant_000550					4.0	3.0	1.0				
Variant_000551	1.0	1.0			3.0	4.0					
Variant_000552	1.0				3.0	3.0					
Variant_000553	1.0		1.0			6.0	1.0		1.0		
Variant_000554					1.0	2.0	4.0				1.0
Variant_000555				1.0	2.0	3.0					
